2024-03-29T12:32:02.950 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08403375880710406
2024-03-29T12:32:03.254 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.037828110507375
2024-03-29T12:32:03.777 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.05646995632817742
2024-03-29T12:32:04.876 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.05646995632817742
2024-03-29T12:32:04.937 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1320115846159613
2024-03-29T12:32:05.902 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.037828110507375
2024-03-29T12:32:05.965 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.011741727968146876
2024-03-29T12:32:06.925 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.011741727968146876
2024-03-29T12:32:06.989 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.037828110507375
2024-03-29T12:32:07.854 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08403375880710406
2024-03-29T12:32:07.916 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08403375880710406
2024-03-29T12:32:08.278 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.03564944474944198
2024-03-29T12:32:08.883 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1268412604775282
2024-03-29T12:32:09.878 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08403375880710406
2024-03-29T12:32:09.940 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13629709700751746
2024-03-29T12:32:10.897 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.6534159381767015
2024-03-29T12:32:10.958 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.17087750623142206
2024-03-29T12:32:11.642 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5468924138968312
